n_neighbors,n_components,min_cluster_size,min_samples,noise_ratio,n_clusters,dbcv,score,trial_id
66,12,53,146,0.00114,2,0.42308923589717773,0.4225192358971777,2
64,15,95,126,0.00116,2,0.3920264057571094,0.3914464057571094,15
55,14,141,127,0.00114,2,0.3862295372358757,0.3856595372358757,29
67,11,55,138,0.00114,2,0.38384000765897786,0.38327000765897784,25
73,11,55,128,0.39292,33,0.5343908877583172,0.33793088775831726,24
41,6,153,69,0.00116,2,0.29408647672481136,0.29350647672481134,9
20,13,93,142,0.51938,44,0.5418266281477206,0.28213662814772067,17
54,13,80,80,0.56364,64,0.5618879536542235,0.2800679536542235,6
28,6,58,131,0.55994,50,0.5507041629958175,0.2707341629958175,1
20,15,195,123,0.05168,10,0.25132459619120734,0.22548459619120734,8
29,7,160,102,0.32482,29,0.38641580242438434,0.22400580242438434,11
64,15,104,102,0.55728,47,0.49779012389297417,0.21915012389297417,21
71,14,51,130,0.54554,47,0.4856952445834001,0.21292524458340006,28
86,10,72,82,0.56564,60,0.4909293326459724,0.20810933264597237,26
58,15,81,148,0.52178,38,0.4645251400427684,0.2036351400427684,16
53,11,67,134,0.50602,41,0.4434161514105492,0.19040615141054917,13
67,6,94,58,0.52516,60,0.4472231124015872,0.1846431124015872,5
71,9,175,80,0.54238,36,0.4495387961242654,0.1783487961242654,14
71,10,128,144,0.52946,36,0.4367916491437534,0.17206164914375338,19
43,5,144,60,0.49768,47,0.4022064023802322,0.1533664023802322,22
75,8,64,123,0.52356,45,0.41144878584991074,0.14966878584991072,20
98,15,140,140,0.45108,27,0.3681720708774298,0.14263207087742982,18
47,15,160,92,0.4628,36,0.3738893050408223,0.1424893050408223,0
41,10,115,47,0.49146,59,0.3825481145003945,0.1368181145003945,4
90,13,71,136,0.54796,40,0.40381966924913343,0.12983966924913343,10
84,13,62,14,0.53096,97,0.3663045101300354,0.1008245101300354,23
86,7,77,31,0.52708,74,0.3506389006296091,0.08709890062960912,3
44,11,198,29,0.48104,40,0.3273166017223269,0.0867966017223269,27
65,5,141,29,0.49012,54,0.29620485165045507,0.05114485165045507,7
27,5,176,33,0.41286,41,0.2549312344146874,0.0485012344146874,12
